"partno","altpartno"
"000-001-44PHR","PVC FILM (0.8MM) (30M X 1.40M)"
"000-001-44PHR","PVC FILM (1MM) (20M X 1.40M)"
"000-001-44PHR","ПЛЕНКА ПРОЗР. ПВХ 1ММ ШИР.1,37М"
"0212KTU01","0212KTU-01"
"0212KTU-03","0212KTU03"
"0212KTU03","0212KTU-03"
"0212KTU-04","0212KTU04"
"0212KTU04","0212KTU-04"
"0212KTU-05","0212KTU05"
"0212KTU05","0212KTU-05"
"0212KTU-07","0212KTU07"
"0212KTU07","0212KTU-07"
"0212KTU-08","0212KTU08"
"0212KTU08","0212KTU-08"
"0212KTU-09","0212KTU09"
"0212KTU09","0212KTU-09"
"0212KTU-10","0212KTU10"
"0212KTU10","0212KTU-10"
"0212KTU-11","0212KTU11"
"0212KTU11","0212KTU-11"
"0212KTU-14","0212KTU14"
"0212KTU14","0212KTU-14"
"0212KTU-15","0212KTU15"
"0212KTU15","0212KTU-15"
"0212KTU-16","0212KTU16"
"0212KTU16","0212KTU-16"
"0212KTU-17","0212KTU17"
"0212KTU17","0212KTU-17"
"02181010","447-10"
"02-190001-007","02-190002-018"
"02-190001-011","02-190002-020"
"02300-1","BACS10A-3"
"02300-1","BACS10A3N"
"023805-000","024705-000"
"023805-000","1159SCAV519-1"
"02410024","333012S"
"02410028","JB.7/16"
"02410032","45 A 1/2"
"02410032","45A 1/2"
"02410032","JB.1/2"
"02410036","JB.5/8"
"02410038","45A 11/16"
"02410038","JB.11/16"
"02410040","JB.3/4"
"02410042","JB.13/16"
"02410044","JB.7/8"
"02410046","45A 15/16"
"02410048","45A 1"
"02420016","J.1/4LA"
"02420020","J.5/16LA"
"02420024","46A 3/8"
"02420032","J.1/2LA"
"02420036","J.5/8LA"
"02420038","J.11/16LA"
"02420040","J.3/4LA"
"02420042","J.13/16LA"
"02420044","46A 7/8"
"02440020","47A"
"02440024","47A"
"02440028","47A"
"02440032","47A"
"02440034","47A"
"02440036","47A"
"02440038","47A"
"02440040","47A"
"02450020","FA8E"
"02470016","447A (1/4)"
"02470016","447A 1/4"
"02470020","447A (5/16)"
"02470020","447A 5/16"
"02470024","447A (3/8)"
"02470024","447A 3/8"
"02470028","447A (7/16)"
"02470028","447A 7/16"
"02470032","447A (1/2)"
"02470034","447A (9/16)"
"02470036","447A"
"02470036","447A 5/8"
"024705-000","023805-000"
"024705-000","1159SCAV519-1"
"02480028","447A 7/16"
"02490044","440A 7/8"
"02490048","440 A 1"
"02490048","440A 1"
"024E0693-00","STD-7110"
"02500040","540 A 3/4"
"025-0402-20","8522-3760"
"025-0404-20","8522-3761"
"025048","0025048"
"025048","025048TX"
"025048","100536600"
"025048","FA259-52300-000"
"025048TX","0025048"
"025048TX","025048"
"025048TX","100536600"
"025048TX","FA259-52300-000"
"025-07-095","02507095AIR"
"025-07-123","02507123AIR"
"025-07-124","02507124AIR"
"02507124AIR","025-07-124"
"025-07-137","02507137AIR"
"02507137AIR","025-07-137"
"025-07-273","02507273"
"02507273","025-07-273"
"025098-000","MO-025098-000-ST"
"0251015L","250-015"
"0251015L","251-015"
"0251015L","251015"
"025-1156-000","E0176-04CR"
"025-230-115","H10-60"
"025-230-325","H10-60"
"0256490940","0256490941"
"0256490941","0256490940"
"0256490941","0256490942"
"0256490941","0256490943"
"0256490941","20954934ENSA"
"0256490941","FA656957N0M1"
"0256490941","FA656957N0M2"
"0256490941","LA2E90100K10100"
"0256490942","0256490941"
"0256490943","0256490941"
"026-07-073","02607073"
"02607073","026-07-073"
"026-10-100","02610100"
"02623","02023"
"026-35-2-999-3211","H10-60"
"026-35-999-3211","H10-60"
"026670","RELINK 2318 B (50MM)"
"0270.225.07","0270.225.07/A"
"0270.225.07/A","0270.225.07"
"0274","LOCTITE 274 (250ML)"
"0274","LOCTITE 274 (50ML)"
"02-7830-0110","3115 (JACK)"
"02-7830-0110","9346-010"
"02-7830-0110","9346-011"
"02-7830-0110","GSE0700037"
"02805025","DIN6799-6A2"
"02805028AIR","DIN472-13X1A2"
"029","M0A36029"
"029-616-0","275K22T1"
"029-616-0","APS01207"
"029-616-0","DR25821T"
"029-894-0","441K82T1"
